step,GS_21441737_queue,GS_21441737_wait_time,GS_25954547_queue,GS_25954547_wait_time,GS_26752062_queue,GS_26752062_wait_time,GS_26753059_queue,GS_26753059_wait_time,GS_659394041_queue,GS_659394041_wait_time,cluster_262476527_26871569_311718989_3836987635_#3more_queue,cluster_262476527_26871569_311718989_3836987635_#3more_wait_time
243,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,21.0
244,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2,23.0
245,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,2,25.0
246,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,2,27.0
247,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,3,30.0
248,1,6.0,0,0.0,0,0.0,0,0.0,0,0.0,3,33.0
249,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,3,36.0
250,1,8.0,0,0.0,0,0.0,0,0.0,0,0.0,3,39.0
251,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,3,42.0
252,2,12.0,0,0.0,0,0.0,0,0.0,0,0.0,3,45.0
253,2,14.0,0,0.0,0,0.0,0,0.0,0,0.0,3,48.0
254,2,16.0,0,0.0,0,0.0,0,0.0,0,0.0,3,51.0
255,2,18.0,0,0.0,0,0.0,0,0.0,0,0.0,3,54.0
256,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,3,57.0
257,2,22.0,0,0.0,0,0.0,0,0.0,0,0.0,3,60.0
258,1,8.0,0,0.0,0,0.0,0,0.0,0,0.0,2,34.0
259,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,13.0
260,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
261,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
262,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
263,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
264,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
265,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
266,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
267,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
268,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
269,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
270,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
271,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
272,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
273,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
